id,product_id,store_id,quantity,type,cost_price
3528,SSA925C051C,ST,20,-,0
3529,SSA 352F 107K,ST,1,-,0
3530,30020S,ST,4,-,0
3531,TCP11F2,ST,3,+,302.2
3532,ACA272C064,ST,2,+,123.282
3533,ACA272C064,ST,1,+,100
3534,ACA201A020,WD,1,-,0
3535,70120783,WP,41,+,19.004
3536,C3-TB25-6,ST,1,-,0
3537,E2-A415ES24,ST,1,+,345.5312
3538,MIT-FK61/65-B,ST,5,+,65
3539,C7SM-7320A,ST,9,+,72
3540,TD30DXB-1L2,ST,1,+,4599.48
3541,SSA925C051R,ST,5,-,0
3542,ACA272C065,ST,3,+,119.8575
3543,SSA431B239,ST,1,-,0
3544,TLB504A088,ST,1,+,1
3545,TCP18C2-KT1,ST,1,+,1
3546,559518,ST,5,+,1
3547,TCP11FOR,ST,5,+,2.9802
3548,JW1FSN-DC24V,ST,40,-,0
3549,ACA272C064,ST,1,+,119.8575
3550,TCP11F2W,ST,5,+,1
3551,ACA272C064,ST,3,+,123.282
3552,P1PCB24,ST,10,+,20.0264
3553,TD25DXB-1L1,ST,1,+,3845.859
3554,TDJ301DL2,ST,1,-,0
3555,SSA512A025,WD,1,+,135.234
3556,MPL002,ST,10,+,33.5
3557,TDJ301DL2,ST,1,+,4127.716
3558,C3-TB25-6,ST,2,-,0
3559,C3-TB25-6,ST,4,-,0
3560,ACA272C064,ST,10,+,119.8575
3561,SSA521A425A,ST,16,+,1
3562,ACA201A020,ST,1,+,215.4
3563,SSA925C051N,ST,20,-,0
3564,2RB2,DL,1,-,0
3565,SAA382A008A,ST,2,+,52.5
3566,TDJ360DL1,ST,2,+,6699.096
3567,E2-A415ES12,ST,3,+,314.4664
3568,MD115472,ST,19,+,23
3569,S2/2GANGON/OFFSW,WD,1,-,0
3570,TD25DXB-1L1,ST,1,+,3845.859
3571,38615900,ST,2,+,25.3271
3572,TDJ360DL1,ST,2,-,0
3573,C3-TB25-6,ST,2,-,0
3574,C3-TB25-4,ST,4,-,0
3575,ACA932C024A,ST,1,+,2.84
3576,TOY-EURO-S,ST,1,-,0
3577,E2-B415ES24,ST,4,+,467.1949
3578,E2-B415ES24,ST,1,-,0
3579,TDJ301DL2,ST,1,+,4127.716
3580,SSA387B114F,WD,1,+,54
3581,ACA272C064,ST,1,+,100
3582,38615900,ST,2,+,25.1694
3583,2RB2,DL,1,-,0
3584,B3608-2RS,DL,1,-,0
3585,SSA383D009A,ST,1,-,0
3586,C3-TB25-6,ST,2,-,0
3587,E2-A415ES12,ST,2,+,314.4664
3588,E2-A415ES24,ST,1,+,345.8712
3589,45882,ST,6,+,6.86
3590,B7ISU-NPR75-S,ST,1,+,2
3591,30500S,ST,1,+,57.14
3592,R1LY2,ST,9,+,3
3593,TOY-150-P,ST,2,+,90
3594,38615900,ST,2,+,25.1694
3595,SAA382A008,ST,1,+,52.5
3596,ACA201A020,ST,1,+,215.4
3597,MPL001,ST,4,+,33.5
3598,SSA925C051P,ST,5,-,0
3599,TD22DXB-1L1,ST,2,+,4068.02
3600,SSA382F108A,ST,2,+,35.91
3601,TDJ301DL1,ST,1,+,4656.412
3602,TDJ301DL1,ST,2,+,4424.172
3603,MIT-FE83/70-P,ST,4,+,46.04
3604,TSJ541B002D,ST,2,+,102
3605,SSA512A022B,ST,2,+,377.36
3606,MIT-FE83/70-P,ST,10,+,46.04
3607,E3PS-0111-01,ST,10,+,1
3608,R1HG2-S,ST,5,-,0
3609,E2-A415ES12,ST,2,+,327.7516
3610,TDJ360DL1,ST,2,+,6473.952
3611,TDJ360DL2,ST,1,+,6813.792
3612,TCP11F1W,ST,10,+,1
3613,SSA512K009,ST,2,+,69.91
3614,ACA272C009,ST,1,+,100
3615,JW1FSN-DC24V,ST,40,-,0
3616,MIT-511-P,ST,4,+,1
3617,TDJ301DL1,ST,1,+,4424.172
3618,P1PCB24,ST,10,+,20.34
3619,SSA431A031,ST,2,+,62.6367
3620,SSA383D009A,ST,1,+,232.875
3621,SSA521A406A,ST,1,+,17.5
3622,SSA387B121B,ST,1,-,0
3623,SSA387B121B,ST,1,-,0
3624,E2-A415ES12,ST,3,+,327.7516
3625,SAA512A103,WD,1,+,35.9398
3626,C3-TB25-6,ST,5,-,0
3627,30h45-00101,ST,8,+,1.5
3628,CK2541,WP,17,-,0
3629,67960,ST,8,-,0
3630,38615900,ST,2,+,25.2972
3631,ACA272C064,ST,1,+,0.5
3632,TLB504A088,ST,1,+,1
3633,SAA382A008A,ST,1,+,17.955
3634,B7HINO-FD8JJKA-P,ST,1,+,175
3635,SSA512K009,ST,2,-,0
3636,B2B28,ST,1,-,0
3637,ACA272C082,ST,2,-,0
3638,MT-SN035N-COIL,ST,2,-,0
3639,ACA272C082,ST,15,-,0
3640,38615900,ST,1,+,25.2972
3641,ERC05,ST,14,+,7.8
3642,B7HINO-XZU405R-S,ST,1,-,0
3643,SSA521A425A,ST,5,+,22.43
3644,TCP18C2-KT1,ST,2,+,166.21
3645,56803,ST,1,-,0
